doc_id,topic_id,summary,sentence_count
0,How to Be an Organized Artist1," Keep related supplies in the same area.  Make an effort to clean a dedicated workspace after every session.  Place loose supplies in large, clearly visible containers.  Use clotheslines and clips to hang sketches, photos, and reference material.  Use every inch of the room for storage, especially vertical space.  Use chalkboard paint to make space for drafting ideas right on the walls.  Purchase a label maker to make your organization strategy semi-permanent.  Make a habit of throwing out old, excess, or useless stuff each month.",8
1,How to Create a Neopoprealist Art Work," Create a sketch in the NeoPopRealist manner of the future mural on a small piece of paper 8""x10"" using the black ink pen.  Prepare to create your NeoPopRealist mural.  Prepare your paint.  Begin your project with a design.  Produce a scaled down version of your finished mural.  Prepare the wall to be painted.  After you have primed the surface, measure the wall.  Paint in the base coat of the background.  Allow the background and base coats to dry.  Draw the lines, then fill the appeared section with different repetitive patterns (examine the images above).  Paint patterns with brushes of suitable size for the particular portion of work you are painting.  Clean up the lines and shapes as needed.  Seal the mural if needed.  Be inspired and it will help you succeed!",14
2,How to Be a Visual Effects Artist1," Get a bachelor's degree.  Enroll in a studio-based program.  Train on a number of VFX computer programs.  Watch online tutorials.  Nurture your artistic side.  Pay close attention to movies, television shows, and video games.  Develop a specialization.",7
3,How to Become an Art Investor," Start with some experience or interest in art.  Understand the difference between art collectors, art investors and art speculators.  Figure out what you are willing to pay for art, before going to an auction house.  Pay attention to what schools of art are selling well, and which are down.  Focus art investments on fine art paintings, rather than decorative art.  Reach out to trusted auction houses and dealers when you are looking to buy art.  Buy your investment art when you feel confident of its worth, its price and its ability to grow in value.  Study how art is properly stored.  Have your art investments appraised occasionally.  Consider renting out your art investments.  Understand that selling an art investment can take time.",11
4,How to Be an Organized Artist2," Keep your reference materials, sketches, articles, photos, etc, in one easy to find place.  Make ""studies,"" or practice sketches, to organize effectively for larger projects.  Limit the supplies you leave out to the project at hand.  Keep an updated list of all of the necessary supplies, and the quantities of each.  Break down bigger works into more easily completed parts.",5
5,How to Be an Organized Artist3," Keep all of your past work organized and accessible.  Record all of your artistic contacts and connections in one place.  Log the costs of supplies needed for each project.  Find out how much it costs you to make and sell each piece.  Pay attention to what other, similar works of art are selling for.  Consider the ""cost"" of your time when pricing work.",6
6,How to Be a Visual Effects Artist2, Create a compelling reel or portfolio.  Land an internship.  Consider self-employment.  Sign on with a design company or studio.  Move up to a supervisor position.,5
7,How to Be a Visual Effects Artist3, Join a professional society.  Enjoy working with a team.  Expect long work hours.  Spend time on a TV or film set.,4
8,How to Be Good at Improvisation," Make sure you know what is expected of you.  Stick to your topic.  Don't try to be to be funny unless the scenario calls for it.  Act naturally for the situation; talk, act and sit as your character would usually do in the circumstances.  Participate.  Don't react to what others say as yourself, stay in character.  Don't make anything violent or too crazy.  Relax and enjoy yourself.  Be your character.  Play games that allow you to practice improvisation.",10
9,How to Always Catch Pop Culture References1," Make a list of what your friends watch, read, and listen to now.  Go online to check celebrity gossip.  Watch popular TV shows to be in the know.  Check Top 100 charts to see what music is popular now.  Go to the movies whenever something exciting is released.  Follow your favorite celebrities on Twitter and Instagram.  Vary your interests to avoid missing references.  Listen to podcasts about pop culture.",8
10,How to Get a Record Deal With Phantom City Studio," Practice your material until you can perform each song perfectly.  Choose whether you're going to record your music in your own home studio or a professional recording studio.  Prove your talent.  Pick your best three to five songs for a demo submission.  Write a brief bio.  Visit http://www.PhantomCityStudio.com/Demos for up-to-date information on how to properly submit your music demo.  , Complete the demo submission process.  , Wait a for a response.  ",8
11,How to Find the Nearest Casino1, Listen to radio advertisements.  Determine the distance from your location to each casino.  Choose the casino that is the shortest distance from your location.  ,3
12,How to Be a Stage Manager, Take theatre classes.  Volunteer at a theatre.  Try out every position.  Apply for an internship.  Apply at local theatres.  See if there's an opening at a school near you.  Apply at music venues.  Network.  Wear black and dress conservatively.  Dedicate your time.  Be assertive.  Provide great customer service.  Improve your leadership skills.  Communicate clearly.  Stay organized.,15
13,How to Find Actors," Set up a clear list of traits and characteristics you are looking for, as well as the skills the actors need to have.  Remember the budget, the deadline, and all of the small details that the person you hire will need to know.  Call a talent agent, or look through portfolios on their website to see if anyone has the right qualifications/appearance.  , Leave an advertisement in a high circulation newspaper or on an ad site.  Use any connections you may have to track down the perfect man (or woman) for the job, such as an aspiring performer, a casting director, a drama teacher, etc.  , Use social media sites to contact actors or widen your search area.  , Search for actors online and contact them through their website.  , Hold an open call audition.  Attend plays, concerts, recitals, or even a few acting classes to search for the talent.  ",9
14,How to Find a Minivan Mechanic," Determine if your minivan is currently under warranty.  If so, locate a mechanic for warranty work.  Ask your friends, colleagues and family members for recommendations for a good mechanic.  Visit or call the recommended mechanic and ask him if he does the kind of repairs or maintenance you need done on your minivan.  Select a specialized mechanic if your van needs brake repairs, alignment adjustments, exhaust work or radiator replacement.  Request a detailed estimate before you authorize work to be completed.  Ask about the shop's business hours.  Inquire about the shop's guarantee on completed work.  Get references or read testimonials for a mechanic or auto shop before you make your final decision.",9
15,How to Conduct a Workshop," Define the workshop objective.  Decide who your audience is.  Schedule your workshop for the morning or early afternoon.  Publicize your workshop.  Recruit 8-15 participants for your workshop.  Prepare your participants for the workshop.  Prioritize your goals for the workshop.  Prepare a variety of teaching aids.  Prepare paper handouts.  Arrange your audio-visual materials.  Organize your computer-based materials.  Recruit experts, speakers, and assistants.  Decide on your group activities.  Leave time for breaks.  Resist cramming.  Secure catering.  Arrive early.  Set up all equipment before participants arrive.  Arrange the chairs in advance.  Distribute materials.  Greet participants as they arrive.  Introduce yourself and the workshop.  Begin icebreakers.  Execute your lesson plan.  Be flexible.  Use interactive exercises to reinforce information.  Don't talk too much.  Stick to your scheduled breaks.  Switch up activities every 20-30 minutes.  Lighten the mood.  Maintain a respectful, democratic atmosphere.  Be prepared for the unexpected.  Conclude the workshop with a summary of what they have learned.  Get feedback immediately after the session.  Follow up with the participants a few days or weeks later.  Schedule a follow-up workshop if necessary.",36
16,How to Always Catch Pop Culture References2," Make a list of references you don't understand.  Look up quotations from popular shows, movies, and songs.  Use online slang dictionaries to look up words you don't know.  Watch or listen to the old stuff with friends.  Don't try to know it all.",5
17,How to Find the Nearest Casino2, Watch television advertisements.  Determine the distance from your location to each casino.  Choose the casino that is the shortest distance from your location.  ,3
